DAQ_Elapsed_Time,V_mon,I_mon
0.0,3.9998377027804963,0.00849779846612364
0.1,4.003376409877092,0.006245893950108439
0.2,4.000481104070786,0.009141199756413698
0.3,4.003054709231947,0.013323308143299073
0.4,4.007558518263977,0.012036505562718958
0.5,4.008523620199412,0.00849779846612364
0.6,4.0130274292314425,0.013001607498154044
0.7,4.016566136328038,0.012679906853009015
0.8,4.018174639553763,0.010106301691848785
0.9,4.020748244714923,0.011714804917573929
1.0,4.027503958262969,0.011071403627283871
1.1,4.031364366004709,0.007210995885543525
1.2,4.032007767294999,0.0065675945952534676
1.3,4.036189875681885,0.0113931042724289
1.4,4.040693684713915,0.007532696530688554
1.5,4.04230218793964,0.005602492659818381
1.6,4.0461625956813805,0.011071403627283871
1.7,4.050344704068266,0.007854397175833583
1.8,4.050344704068266,0.00849779846612364
1.9,4.051631506648846,0.01654031459474936
2.0,4.0571004176163115,0.009784601046703756
2.1,4.061604226648342,0.006245893950108439
2.2,4.062891029228922,0.01428841007873416
2.3,4.066108035680372,0.011071403627283871
2.4,4.070611844712403,0.00592419330496341
2.5,4.071576946647838,0.016218613949604332
2.6,4.076402456325013,0.009141199756413698
2.7,4.080906265357044,0.009462900401558727
2.8,4.0792977621313184,0.01396670943358913
2.9,4.087983679550234,0.013001607498154044
3.0,4.089270482130814,0.006889295240398496
3.1,4.090235584066249,0.015896913304459304
3.2,4.09795639954973,0.011714804917573929
3.3,4.09859980084002,0.006889295240398496
3.4,4.0998866034206,0.012679906853009015
3.5,4.106964017613791,0.013645008788444102
3.6,4.110824425355531,0.009141199756413698
3.7,4.110502724710386,0.006889295240398496
3.8,4.1127546292264014,0.011071403627283871
3.9,4.116615036968142,0.007854397175833583
4.0,4.118866941484157,0.007532696530688554
4.1,4.123049049871042,0.012358206207863986
4.2,4.127231158257928,0.00881949911126867
4.3,4.128839661483653,0.006889295240398496
4.4,4.131413266644813,0.012036505562718958
4.5,4.136882177612279,0.00881949911126867
4.6,4.139134082128294,0.00849779846612364
4.7,4.143316190515179,0.016218613949604332
4.8,4.149428502772935,0.010749702982138842
4.9,4.148785101482645,0.006889295240398496
5.0,4.14910680212779,0.014931811369024217
5.1,4.159401222772431,0.012358206207863986
5.2,4.159722923417576,0.007210995885543525
5.3,4.159722923417576,0.016218613949604332
5.4,4.168408840836491,0.009784601046703756
5.5,4.168087140191346,0.009462900401558727
5.6,4.172269248578232,0.01428841007873416
5.7,4.174842853739392,0.012679906853009015
5.8,4.1806334653520025,0.007854397175833583
5.9,4.1803117647068575,0.014931811369024217
6.0,4.184815573738888,0.010749702982138842
6.1,4.1912495866417885,0.007854397175833583
6.2,4.189962784061208,0.010106301691848785
6.3,4.193501491157804,0.013645008788444102
6.4,4.198970402125269,0.008176097820978612
6.5,4.2021874085767195,0.007210995885543525
6.6,4.20540441502817,0.012036505562718958
6.7,4.20862142147962,0.009784601046703756
6.8,4.20926482276991,0.010106301691848785
6.9,4.211516727285925,0.015253512014169246
7.0,4.216985638253391,0.011714804917573929
7.1,4.219237542769406,0.009784601046703756
7.2,4.221489447285421,0.014931811369024217
7.3,4.228245160833467,0.009141199756413698
7.4,4.232105568575207,0.006889295240398496
7.5,4.233392371155787,0.013645008788444102
7.6,4.238217880832963,0.014610110723879188
7.7,4.238217880832963,0.010428002336993814
7.8,4.240148084703833,0.01428841007873416
7.9,4.249155702767894,0.010428002336993814
8.0,4.248512301477604,0.010749702982138842
8.1,4.250120804703329,0.01396670943358913
8.2,4.2584850214770995,0.012679906853009015
8.3,4.2584850214770995,0.00849779846612364
8.4,4.262667129863985,0.013323308143299073
8.5,4.26427563308971,0.012036505562718958
8.6,4.271031346637756,0.010106301691848785
8.7,4.2691011427668855,0.009462900401558727
8.8,4.276178556960076,0.015896913304459304
8.9,4.2803606653469615,0.00881949911126867
9.0,4.278752162121236,0.006889295240398496
9.1,4.285507875669282,0.014610110723879188
9.2,4.290655085991602,0.010749702982138842
9.3,4.290333385346457,0.006889295240398496
9.4,4.2922635892173275,0.012036505562718958
9.5,4.296767398249358,0.009141199756413698
9.6,4.300306105345953,0.009462900401558727
9.7,4.304488213732839,0.015896913304459304
9.8,4.309957124700304,0.012036505562718958
9.9,4.311887328571174,0.010428002336993814
10.0,4.313174131151754,0.015575212659314275
10.1,4.31928644340951,0.012036505562718958
10.2,4.32057324599009,0.00881949911126867
10.3,4.320894946635235,0.01428841007873416
10.4,4.3257204563124105,0.009141199756413698
10.5,4.327972360828426,0.00849779846612364
10.6,4.331189367279876,0.01686201523989439
10.7,4.338266781473067,0.012358206207863986
10.8,4.338266781473067,0.007532696530688554
10.9,4.339231883408502,0.013645008788444102
11.0,4.3482395014725626,0.013323308143299073
11.1,4.3479178008274175,0.007532696530688554
11.2,4.350169705343433,0.010106301691848785
11.3,4.356282017601188,0.011071403627283871
11.4,4.357568820181768,0.0113931042724289
11.5,4.361750928568654,0.007532696530688554
11.6,4.364002833084669,0.015253512014169246
11.7,4.368828342761844,0.007854397175833583
11.8,4.37172364856815,0.009784601046703756
11.9,4.37172364856815,0.01396670943358913
12.0,4.37880106276134,0.00849779846612364
12.1,4.3816963685676455,0.00881949911126867
12.2,4.3807312666322105,0.01654031459474936
12.3,4.386521878244821,0.0113931042724289
12.4,4.390382285986561,0.0065675945952534676
12.5,4.3923124898574315,0.013323308143299073
12.6,4.399389904050622,0.010106301691848785
12.7,4.400676706631202,0.00881949911126867
12.8,4.399711604695767,0.015896913304459304
12.9,4.406145617598668,0.012036505562718958
13.0,4.409040923404973,0.009462900401558727
